date,evt_energy
2011-01-11 08:05:00,12045191503.691725
2011-01-11 19:10:00,8113207809.3343
2011-01-12 08:45:00,8503219159.312087
2011-01-12 21:25:00,10622052878.156418
2011-01-13 10:35:00,8277322527.13578
2011-01-14 09:40:00,23824988658.07586
2011-01-14 19:45:00,11612030405.29919
2011-01-15 09:55:00,9247991702.806938
2011-01-15 19:55:00,9653335364.49528
2011-01-16 11:15:00,10164498266.174833
2011-01-17 12:40:00,26070520899.03062
2011-01-17 22:05:00,11769348750.671593
2011-01-18 13:18:45,10932784596.524015
2011-01-19 13:55:00,27097712048.880478
2011-01-19 23:05:00,12865708420.358952
2011-01-20 14:15:00,10220855918.218882
2011-01-21 00:30:00,10730450515.03796
2011-01-21 16:55:00,13039489262.079317
2011-01-22 13:35:00,26401396517.641163
2011-01-22 23:10:00,8000791786.221467
2011-01-23 17:53:45,11787240098.479504
2011-01-24 11:35:00,18941082131.3484
2011-01-25 01:05:00,10827862356.35447
2011-01-25 12:50:00,7808051344.663358
2011-01-26 10:40:00,21497335615.605385
2011-01-27 09:10:00,26553788143.550083
2011-01-27 17:45:00,6848710483.109191
2011-01-28 09:00:00,11509831233.044409
2011-01-28 18:00:00,8059550048.213564
2011-01-29 09:45:00,10917566194.526564
2011-01-29 18:55:00,9981327862.389626
2011-01-30 11:10:00,10000342403.174677
2011-01-30 20:35:00,9871735414.80424
2011-01-31 13:20:00,13844896242.184675
2011-02-01 00:30:15,6121545876.535442
2011-02-01 16:45:00,13422937126.978704
2011-02-02 13:55:00,23930699147.942875
2011-02-02 23:15:00,9607287108.82201
2011-02-03 16:55:00,16997867913.675974
2011-02-04 14:15:00,25870690576.084785
2011-02-05 01:23:45,11715241150.120195
2011-02-05 17:30:00,14717483801.95655
2011-02-06 12:50:00,20706495235.309982
2011-02-07 16:25:00,26304675630.11469
2011-02-08 06:30:00,13888300881.515764
2011-02-08 19:00:00,9871349058.618027
2011-02-09 07:50:00,8844303710.432438
2011-02-09 20:30:00,10610448345.746698
2011-02-10 08:50:00,7503846052.922013
2011-02-11 08:20:00,22648246840.18557
2011-02-11 18:35:00,9260915281.785398
2011-02-12 08:20:00,9481227248.995062
2011-02-12 18:55:00,8350767782.767682
2011-02-13 09:25:00,8512714547.963349
2011-02-13 20:43:45,10134497056.296803
2011-02-14 10:45:00,8129904849.482554
2011-02-15 12:00:00,25506592369.018135
2011-02-15 21:38:45,10929351735.499098
2011-02-16 12:55:00,10588374316.131964
2011-02-17 13:20:00,27280854387.79214
2011-02-17 22:10:00,9553438764.240244
2011-02-18 17:40:00,19737420328.877197
2011-02-19 08:20:00,13313071132.253536
2011-02-19 19:30:00,7176087219.053857
2011-02-20 08:15:00,8336856701.335984
2011-02-20 21:13:45,7402006623.14265
2011-02-21 08:55:00,6482164316.782597
2011-02-21 23:00:00,9073669774.058886
2011-02-22 10:30:00,6233465293.02132
2011-02-23 09:15:00,23503888986.071125
2011-02-24 07:45:00,26480977605.33831
2011-02-24 18:45:00,11674490386.712717
2011-02-25 08:05:00,8446822666.472712
