date,evt_energy
2014-08-12 07:54:00,157512055.27411515
2014-03-16 09:55:00,566288766.1379294
2014-10-18 20:36:45,190292467.62898597
2014-05-07 20:08:00,263643301.33012158
2014-12-20 12:55:45,605263693.7037506
2014-11-29 18:16:45,219431369.5440106
2014-12-13 16:09:15,500076917.2557008
2014-04-04 05:07:45,705574741.3137239
2014-07-17 13:13:30,177779993.7647804
2014-06-01 04:11:45,241561049.45237294
2014-12-10 15:30:45,600103960.047569
2014-03-22 06:07:45,789919597.4808911
2014-11-09 15:42:30,256403428.93130276
2014-05-27 07:54:00,293348369.2957096
2014-11-13 05:46:45,433072143.5998378
2014-07-11 01:13:30,79202920.65147775
2014-11-01 19:02:30,208754860.8824226
2014-04-20 04:45:00,874890385.5512093
2014-05-10 08:46:45,308018449.5140654
2014-10-29 17:07:30,883255079.1399804
2014-07-14 13:18:30,380371075.45887893
2014-08-01 20:08:30,427517847.48291695
2014-08-17 01:48:30,653580829.5873615
2014-09-18 05:59:00,187062397.1295863
2014-09-07 10:49:00,46132541.670539275
2014-03-13 10:05:00,546374733.4202452
2014-10-01 20:14:45,200623722.63895863
2014-02-25 19:45:00,334667789.9214744
2014-07-13 03:33:30,322583518.7869064
2014-06-20 03:26:45,45869090.31548942
2014-06-17 04:51:45,72743574.83175255
2014-03-30 20:55:00,220735944.6543006
2014-04-25 19:20:00,229474434.91046208
2014-12-05 14:22:30,464457830.8721354
2014-09-01 04:36:00,171645853.40059063
2014-02-28 19:06:00,205396560.45663553
2014-02-10 09:41:00,228892764.69346577
2014-02-07 17:15:00,168634371.84007978
2014-11-14 17:17:30,527616448.69051194
2014-09-28 17:24:00,803976211.8882167
2014-09-10 07:55:15,53990479.11088526
2014-06-21 18:46:45,373232726.4297061
2014-02-08 18:16:45,233560224.95413727
2014-03-07 07:00:00,625284812.7151666
2014-05-06 05:05:00,722821346.3232508
2014-05-23 19:46:45,285442998.7965239
2014-11-16 09:26:45,279198836.62989897
2014-03-29 07:16:15,191202218.4225478
2014-11-11 01:37:30,352697461.7123982
2014-11-25 16:14:15,661259350.6658206
2014-01-28 12:15:00,783096665.7993921
2014-08-30 19:38:30,646580549.7445978
2014-10-06 18:41:45,187284039.0559356
2014-10-15 20:16:45,271904547.312622
2014-08-27 03:28:30,1024960945.6750573
2014-06-23 23:11:45,267563270.76357734
2014-07-19 18:19:00,382227377.56362176
2014-07-05 06:11:45,162926061.24467728
2014-10-23 17:31:45,490708595.2320813
2014-11-17 17:47:30,444423408.9301119
2014-01-29 13:25:00,703151747.576723
2014-04-27 23:45:00,491310722.0875047
2014-06-30 13:06:45,200568348.61208785
2014-05-19 13:01:45,192158460.25139716
2014-03-27 09:10:00,535983493.4403243
2014-03-15 13:45:00,1050976099.7407072
2014-02-12 13:06:00,878896629.8475305
2014-03-26 10:55:00,251619467.9025557
2014-06-27 02:41:45,718093060.5223594
2014-07-12 10:58:30,343506173.99101394
2014-06-03 04:08:45,650378639.3488523
2014-05-26 04:21:45,493162366.2380113
2014-12-02 08:37:30,288438844.1379131
2014-05-23 05:21:00,164421179.96020222
2014-02-10 20:46:00,335612922.3464992
2014-10-26 15:11:45,719480865.3487631
2014-05-24 06:13:45,139804839.7947007
2014-05-30 03:06:45,640127914.0966907
2014-11-12 16:21:45,737608669.8346716
2014-10-20 21:04:15,256745924.27490246
2014-07-28 02:33:30,581287476.1851453
2014-11-13 17:46:45,172520682.68275023
2014-12-17 21:10:45,396875152.42828894
2014-08-01 03:23:30,781242188.666204
2014-10-31 18:41:45,133837956.54263945
2014-10-08 20:32:00,345529313.4672522
2014-02-09 19:25:00,283214936.6164895
2014-09-20 22:30:30,598250227.6990846
2014-09-13 22:30:15,518153893.2006022
2014-08-02 08:38:30,304153671.44801974
2014-01-31 16:12:15,725130285.1487329
2014-12-14 17:54:00,161247299.39462823
2014-08-27 21:28:00,443136982.3815801
2014-11-03 16:32:30,77559124.91320929
2014-12-09 01:51:30,365318915.9586654
2014-04-10 22:05:45,388903388.31355286
2014-09-03 10:38:30,452649776.01534855
2014-11-15 18:37:00,196995856.94460136
2014-11-06 11:11:45,432548802.6025544
2014-02-15 16:11:00,339133778.42474145
2014-09-30 18:08:45,764301499.2683678
2014-12-02 19:01:15,304256243.65605253
2014-06-05 04:41:45,695378299.5752778
2014-09-15 18:47:30,221370246.27917585
2014-09-22 22:30:15,248097217.01435724
2014-12-08 00:30:45,463210115.36986214
2014-04-02 00:57:45,802398346.678136
2014-03-31 08:55:45,287990356.71734726
2014-02-14 14:00:00,909977556.5646753
2014-05-02 03:10:00,680919087.2098794
2014-09-05 23:38:30,726303196.1365434
2014-04-02 10:45:00,299977394.42651725
2014-03-05 10:00:00,517776351.4167785
2014-02-24 10:45:45,223576482.3610433
2014-08-21 22:28:30,427231664.43614525
2014-08-21 00:23:30,418099972.1952312
2014-08-04 07:13:30,194486262.83024698
2014-03-11 20:40:00,369109974.94862455
2014-03-27 18:40:00,154312736.22680554
2014-07-20 04:18:30,172665620.37471834
2014-11-18 09:17:30,290316737.6064658
2014-04-11 20:05:00,83567095.67662475
2014-12-22 13:45:00,478886039.3510149
2014-07-10 00:23:30,720109567.2633424
2014-05-04 06:47:30,216769973.07783985
2014-08-18 04:58:30,225148711.53529888
2014-12-06 14:25:45,658203347.2475755
2014-04-07 07:15:45,167339051.36828962
2014-03-02 20:46:00,216344506.5209759
2014-08-25 06:53:30,466849412.42948663
2014-09-12 12:50:15,252055809.02943096
2014-10-03 06:34:00,55061394.47620523
2014-10-03 20:30:15,255656880.8746243
2014-07-20 20:23:30,300853744.7390854
2014-12-03 15:54:15,544427723.8378947
