Station,pre-slip_area,pre-slip_area_sd,slip_severity,slip_severity_sd,slip_size,slip_size_sd,x_cor,y_cor
la01,120.33697281730278,48.47162677102793,1.0263242620931774e-06,3.2469784822808386e-07,0.36594380151421857,0.05736592822173955,-280745.08511874464,-559652.0841568044
la02,107.82409791057722,77.97264436562465,1.073754961741276e-06,3.6499104846816615e-07,0.3775334550637186,0.06145535175703841,-276605.5720905038,-561027.2406794957
la03,117.90091337735066,93.69777883433046,9.407592537537007e-07,2.875423354623047e-07,0.3624629581024727,0.0533841405249134,-274115.3213814491,-565881.2458859541
la04,89.38954947416714,87.31852412002652,1.0177068317953382e-06,3.423615634055666e-07,0.39197315293369683,0.06516693951342269,-255279.72869955096,-568381.9702849482
la05,90.77433600461306,96.84730299882537,8.644231296591018e-07,3.80396780003924e-07,0.3585124390567405,0.09440913778795619,-243775.08671534585,-563142.6795343315
la06,84.06212070518788,79.37444176923312,1.4339132007877156e-06,4.6135489723529047e-07,0.4361988261637512,0.0669521676381796,-267197.70841808425,-550017.9412610854
la07,103.10734950133264,78.83830836082417,1.0111948139784155e-06,3.4512085996374313e-07,0.3649514041509456,0.05936541811947654,-253460.2581848718,-529455.222602348
la08,136.6215150555731,164.46173140414876,5.473296996507566e-07,2.006188729371205e-07,0.2537502291143497,0.04315236008932515,-266802.0032377287,-518406.34704567643
la09,263.4421612136987,300.9494016493032,2.6998255266542546e-07,2.0971822701501287e-07,0.13528795215043876,0.022701783386322463,-289236.48706015496,-506188.8613091073
la10,62.60582208756879,25.441080318394803,1.2501687143243502e-06,4.2583947724915396e-07,0.44259884256728294,0.07996384898613525,-229364.60498651932,-572690.626255056
la11,129.95541152420665,93.42900667438394,9.319999365731912e-07,2.842677836045801e-07,0.3554334114311707,0.05095200977373105,-280853.226838891,-562266.6968843275
la12,267.9592865102946,300.401822946781,1.9561863907742433e-07,6.757229304505425e-08,0.1172030299620124,0.016456852037685044,-295569.94200342987,-502316.8225070274
la13,82.2016329715724,32.898012249155244,1.322776230229524e-06,4.1866594603167066e-07,0.4199743043169146,0.06675979750742503,-267290.0997719625,-556283.8116710663
la14,40.63778077276356,22.385503123056193,1.6594937405108008e-06,6.723203486770366e-07,0.4791430834420873,0.10260331110851685,-228050.2119365011,-554798.5957119442
la15,45.0322903928219,28.51290297146117,1.7464351479461386e-06,6.798386678425002e-07,0.48140296707377894,0.09998113993924732,-234478.7382303706,-554518.9967518403
la16,107.5998294233457,53.14277999807174,1.1209664044063755e-06,3.681205046947814e-07,0.4146864999541276,0.08254994264939135,-203837.1443075162,-558528.7553189762
la17,254.56977260200586,288.48995092095936,2.43018138544435e-07,3.1766934369716006e-07,0.11254125829284632,0.02060402308741196,-295558.4613572159,-502290.28061528073
la18,157.47170966810387,202.19973884729234,3.914071003149034e-07,2.984749624853143e-07,0.20699118125688823,0.033266313844070125,-276617.2528449809,-512712.6783723249
